"","inferred location","true location","sites","error","m10","missingindex","Genotype","lost_rate","lost_br","MO"
"63","7","13","20","0.05","0.01","0","Ternary","0","0","MO"
"64","10","18","20","0.05","0.01","0","Ternary","0","0","MO"
"65","10","19","20","0.05","0.01","0","Ternary","0","0","MO"
"66","10","17","20","0.05","0.01","0","Ternary","0","0","MO"
"67","9","16","20","0.05","0.01","0","Ternary","0","0","MO"
"68","8","18","20","0.05","0.01","0","Ternary","0","0","MO"
"69","12","18","20","0.05","0.01","0","Ternary","0","0","MO"
"70","3","19","20","0.05","0.01","0","Ternary","0","0","MO"
"71","7","13","20","0.05","0.01","0","Ternary","0","0","MO"
"72","7","17","20","0.05","0.01","0","Ternary","0","0","MO"
"73","6","17","20","0.05","0.01","0","Ternary","0","0","MO"
"74","7","15","20","0.05","0.01","0","Ternary","0","0","MO"
"75","11","16","20","0.05","0.01","0","Ternary","0","0","MO"
"76","7","17","20","0.05","0.01","0","Ternary","0","0","MO"
"77","9","18","20","0.05","0.01","0","Ternary","0","0","MO"
"78","4","14","20","0.05","0.01","0","Ternary","0","0","MO"
"79","9","14","20","0.05","0.01","0","Ternary","0","0","MO"
"80","8","16","20","0.05","0.01","0","Ternary","0","0","MO"
"81","9","15","20","0.05","0.01","0","Ternary","0","0","MO"
"82","11","20","20","0.05","0.01","0","Ternary","0","0","MO"
"83","7","16","20","0.05","0.01","0","Ternary","0","0","MO"
"84","11","20","20","0.05","0.01","0","Ternary","0","0","MO"
"85","2","14","20","0.05","0.01","0","Ternary","0","0","MO"
"86","8","17","20","0.05","0.01","0","Ternary","0","0","MO"
"87","5","16","20","0.05","0.01","0","Ternary","0","0","MO"
"88","5","17","20","0.05","0.01","0","Ternary","0","0","MO"
"89","5","19","20","0.05","0.01","0","Ternary","0","0","MO"
"90","5","17","20","0.05","0.01","0","Ternary","0","0","MO"
"91","8","18","20","0.05","0.01","0","Ternary","0","0","MO"
"92","10","19","20","0.05","0.01","0","Ternary","0","0","MO"
"93","13","18","20","0.05","0.01","0","Ternary","0","0","MO"
"94","12","17","20","0.05","0.01","0","Ternary","0","0","MO"
"95","3","19","20","0.05","0.01","0","Ternary","0","0","MO"
"96","7","19","20","0.05","0.01","0","Ternary","0","0","MO"
"97","7","14","20","0.05","0.01","0","Ternary","0","0","MO"
"98","6","19","20","0.05","0.01","0","Ternary","0","0","MO"
"99","6","19","20","0.05","0.01","0","Ternary","0","0","MO"
"100","8","17","20","0.05","0.01","0","Ternary","0","0","MO"
"101","9","17","20","0.05","0.1","0","Ternary","0","0","MO"
"102","10","19","20","0.05","0.1","0","Ternary","0","0","MO"
"103","3","9","20","0.05","0.1","0","Ternary","0","0","MO"
"104","9","14","20","0.05","0.1","0","Ternary","0","0","MO"
"105","8","19","20","0.05","0.1","0","Ternary","0","0","MO"
"106","8","14","20","0.05","0.1","0","Ternary","0","0","MO"
"107","7","15","20","0.05","0.1","0","Ternary","0","0","MO"
"108","9","18","20","0.05","0.1","0","Ternary","0","0","MO"
"109","6","19","20","0.05","0.1","0","Ternary","0","0","MO"
"110","10","19","20","0.05","0.1","0","Ternary","0","0","MO"
"111","5","19","20","0.05","0.1","0","Ternary","0","0","MO"
"112","7","14","20","0.05","0.1","0","Ternary","0","0","MO"
"113","7","19","20","0.05","0.1","0","Ternary","0","0","MO"
"114","6","19","20","0.05","0.1","0","Ternary","0","0","MO"
"115","8","17","20","0.05","0.1","0","Ternary","0","0","MO"
"116","9","16","20","0.05","0.1","0","Ternary","0","0","MO"
"117","5","19","20","0.05","0.1","0","Ternary","0","0","MO"
"118","2","20","20","0.05","0.1","0","Ternary","0","0","MO"
"119","11","19","20","0.05","0.1","0","Ternary","0","0","MO"
"120","10","18","20","0.05","0.1","0","Ternary","0","0","MO"
"121","6","15","20","0.05","0.1","0","Ternary","0","0","MO"
"122","8","20","20","0.05","0.1","0","Ternary","0","0","MO"
"123","8","19","20","0.05","0.1","0","Ternary","0","0","MO"
"124","4","16","20","0.05","0.1","0","Ternary","0","0","MO"
"125","5","14","20","0.05","0.1","0","Ternary","0","0","MO"
"126","4","18","20","0.05","0.1","0","Ternary","0","0","MO"
"127","12","19","20","0.05","0.1","0","Ternary","0","0","MO"
"128","6","13","20","0.05","0.1","0","Ternary","0","0","MO"
"129","7","18","20","0.05","0.1","0","Ternary","0","0","MO"
"130","4","16","20","0.05","0.1","0","Ternary","0","0","MO"
"131","9","15","20","0.05","0.1","0","Ternary","0","0","MO"
"132","11","16","20","0.05","0.1","0","Ternary","0","0","MO"
"133","4","13","20","0.05","0.1","0","Ternary","0","0","MO"
"134","9","16","20","0.05","0.1","0","Ternary","0","0","MO"
"135","10","19","20","0.05","0.1","0","Ternary","0","0","MO"
"136","9","17","20","0.05","0.1","0","Ternary","0","0","MO"
"137","6","15","20","0.05","0.1","0","Ternary","0","0","MO"
"138","8","16","20","0.05","0.1","0","Ternary","0","0","MO"
"139","6","15","20","0.05","0.1","0","Ternary","0","0","MO"
"140","8","17","20","0.05","0.1","0","Ternary","0","0","MO"
"141","8","17","20","0.05","0.1","0","Ternary","0","0","MO"
"142","7","17","20","0.05","0.1","0","Ternary","0","0","MO"
"143","7","18","20","0.05","0.1","0","Ternary","0","0","MO"
"144","9","17","20","0.05","0.1","0","Ternary","0","0","MO"
"145","8","19","20","0.05","0.1","0","Ternary","0","0","MO"
"146","11","19","20","0.05","0.1","0","Ternary","0","0","MO"
"147","10","15","20","0.05","0.1","0","Ternary","0","0","MO"
"148","6","15","20","0.05","0.1","0","Ternary","0","0","MO"
"149","6","13","20","0.05","0.1","0","Ternary","0","0","MO"
"150","9","20","20","0.05","0.1","0","Ternary","0","0","MO"
"151","12","19","20","0.05","0.1","0","Ternary","0","0","MO"
"152","7","16","20","0.05","0.1","0","Ternary","0","0","MO"
"153","9","19","20","0.05","0.1","0","Ternary","0","0","MO"
"154","4","18","20","0.05","0.1","0","Ternary","0","0","MO"
"155","7","18","20","0.05","0.1","0","Ternary","0","0","MO"
"156","9","17","20","0.05","0.1","0","Ternary","0","0","MO"
"157","8","19","20","0.05","0.1","0","Ternary","0","0","MO"
"158","9","19","20","0.05","0.1","0","Ternary","0","0","MO"
"159","5","16","20","0.05","0.1","0","Ternary","0","0","MO"
"160","8","18","20","0.05","0.1","0","Ternary","0","0","MO"
"161","6","20","20","0.05","0.1","0","Ternary","0","0","MO"
"162","7","16","20","0.05","0.1","0","Ternary","0","0","MO"
"163","9","11","20","0.05","0.1","0","Ternary","0","0","MO"
"164","6","15","20","0.05","0.1","0","Ternary","0","0","MO"
"165","6","13","20","0.05","0.1","0","Ternary","0","0","MO"
"166","7","16","20","0.05","0.1","0","Ternary","0","0","MO"
"167","4","17","20","0.05","0.1","0","Ternary","0","0","MO"
"168","11","20","20","0.05","0.1","0","Ternary","0","0","MO"
"169","4","13","20","0.05","0.1","0","Ternary","0","0","MO"
"170","4","15","20","0.05","0.1","0","Ternary","0","0","MO"
"171","3","12","20","0.05","0.1","0","Ternary","0","0","MO"
"172","5","18","20","0.05","0.1","0","Ternary","0","0","MO"
"173","11","18","20","0.05","0.1","0","Ternary","0","0","MO"
"174","9","17","20","0.05","0.1","0","Ternary","0","0","MO"
"175","6","15","20","0.05","0.1","0","Ternary","0","0","MO"
"176","11","18","20","0.05","0.1","0","Ternary","0","0","MO"
"177","12","19","20","0.05","0.1","0","Ternary","0","0","MO"
"178","3","9","20","0.05","0.1","0","Ternary","0","0","MO"
"179","5","14","20","0.05","0.1","0","Ternary","0","0","MO"
"180","8","14","20","0.05","0.1","0","Ternary","0","0","MO"
"181","6","14","20","0.05","0.1","0","Ternary","0","0","MO"
"182","7","16","20","0.05","0.1","0","Ternary","0","0","MO"
"183","8","17","20","0.05","0.1","0","Ternary","0","0","MO"
"184","11","17","20","0.05","0.1","0","Ternary","0","0","MO"
"185","10","19","20","0.05","0.1","0","Ternary","0","0","MO"
"186","7","18","20","0.05","0.1","0","Ternary","0","0","MO"
"187","11","17","20","0.05","0.1","0","Ternary","0","0","MO"
"188","8","16","20","0.05","0.1","0","Ternary","0","0","MO"
"189","7","18","20","0.05","0.1","0","Ternary","0","0","MO"
"190","8","18","20","0.05","0.1","0","Ternary","0","0","MO"
"191","7","16","20","0.05","0.1","0","Ternary","0","0","MO"
"192","6","18","20","0.05","0.1","0","Ternary","0","0","MO"
"193","5","14","20","0.05","0.1","0","Ternary","0","0","MO"
"194","8","13","20","0.05","0.1","0","Ternary","0","0","MO"
"195","9","20","20","0.05","0.1","0","Ternary","0","0","MO"
"196","8","18","20","0.05","0.1","0","Ternary","0","0","MO"
"197","11","17","20","0.05","0.1","0","Ternary","0","0","MO"
"198","4","18","20","0.05","0.1","0","Ternary","0","0","MO"
"199","4","18","20","0.05","0.1","0","Ternary","0","0","MO"
"200","4","13","20","0.05","0.1","0","Ternary","0","0","MO"
"201","11","17","20","0.05","1","0","Ternary","0","0","MO"
"202","7","20","20","0.05","1","0","Ternary","0","0","MO"
"203","6","15","20","0.05","1","0","Ternary","0","0","MO"
"204","9","15","20","0.05","1","0","Ternary","0","0","MO"
"205","8","19","20","0.05","1","0","Ternary","0","0","MO"
"206","6","14","20","0.05","1","0","Ternary","0","0","MO"
"207","5","11","20","0.05","1","0","Ternary","0","0","MO"
"208","9","16","20","0.05","1","0","Ternary","0","0","MO"
"209","5","18","20","0.05","1","0","Ternary","0","0","MO"
"210","2","17","20","0.05","1","0","Ternary","0","0","MO"
"211","6","16","20","0.05","1","0","Ternary","0","0","MO"
"212","9","16","20","0.05","1","0","Ternary","0","0","MO"
"213","3","18","20","0.05","1","0","Ternary","0","0","MO"
"214","10","18","20","0.05","1","0","Ternary","0","0","MO"
"215","7","12","20","0.05","1","0","Ternary","0","0","MO"
"216","2","15","20","0.05","1","0","Ternary","0","0","MO"
"217","8","19","20","0.05","1","0","Ternary","0","0","MO"
"218","3","18","20","0.05","1","0","Ternary","0","0","MO"
"219","6","14","20","0.05","1","0","Ternary","0","0","MO"
"220","4","13","20","0.05","1","0","Ternary","0","0","MO"
"221","10","16","20","0.05","1","0","Ternary","0","0","MO"
"222","6","16","20","0.05","1","0","Ternary","0","0","MO"
"223","6","17","20","0.05","1","0","Ternary","0","0","MO"
"224","6","18","20","0.05","1","0","Ternary","0","0","MO"
"225","6","15","20","0.05","1","0","Ternary","0","0","MO"
"226","4","18","20","0.05","1","0","Ternary","0","0","MO"
"227","5","18","20","0.05","1","0","Ternary","0","0","MO"
"228","6","14","20","0.05","1","0","Ternary","0","0","MO"
"229","8","17","20","0.05","1","0","Ternary","0","0","MO"
"230","4","12","20","0.05","1","0","Ternary","0","0","MO"
"231","6","16","20","0.05","1","0","Ternary","0","0","MO"
"232","6","14","20","0.05","1","0","Ternary","0","0","MO"
"233","9","16","20","0.05","1","0","Ternary","0","0","MO"
"234","8","17","20","0.05","1","0","Ternary","0","0","MO"
"235","7","19","20","0.05","1","0","Ternary","0","0","MO"
"236","10","17","20","0.05","1","0","Ternary","0","0","MO"
"237","2","10","20","0.05","1","0","Ternary","0","0","MO"
"238","8","15","20","0.05","1","0","Ternary","0","0","MO"
"239","10","16","20","0.05","1","0","Ternary","0","0","MO"
"240","5","17","20","0.05","1","0","Ternary","0","0","MO"
"241","6","17","20","0.05","1","0","Ternary","0","0","MO"
"242","8","18","20","0.05","1","0","Ternary","0","0","MO"
"243","5","16","20","0.05","1","0","Ternary","0","0","MO"
"244","8","16","20","0.05","1","0","Ternary","0","0","MO"
"245","5","18","20","0.05","1","0","Ternary","0","0","MO"
"246","9","20","20","0.05","1","0","Ternary","0","0","MO"
"247","7","17","20","0.05","1","0","Ternary","0","0","MO"
"248","5","17","20","0.05","1","0","Ternary","0","0","MO"
"249","11","18","20","0.05","1","0","Ternary","0","0","MO"
"250","8","18","20","0.05","1","0","Ternary","0","0","MO"
"251","6","12","20","0.05","1","0","Ternary","0","0","MO"
"252","11","18","20","0.05","1","0","Ternary","0","0","MO"
"253","7","19","20","0.05","1","0","Ternary","0","0","MO"
"254","5","18","20","0.05","1","0","Ternary","0","0","MO"
"255","9","16","20","0.05","1","0","Ternary","0","0","MO"
"256","5","15","20","0.05","1","0","Ternary","0","0","MO"
"257","8","19","20","0.05","1","0","Ternary","0","0","MO"
"258","6","16","20","0.05","1","0","Ternary","0","0","MO"
"259","8","16","20","0.05","1","0","Ternary","0","0","MO"
"260","7","18","20","0.05","1","0","Ternary","0","0","MO"
"261","4","19","20","0.05","1","0","Ternary","0","0","MO"
"262","12","14","20","0.05","1","0","Ternary","0","0","MO"
"263","6","16","20","0.05","1","0","Ternary","0","0","MO"
"264","9","18","20","0.05","1","0","Ternary","0","0","MO"
"265","5","20","20","0.05","1","0","Ternary","0","0","MO"
"266","7","16","20","0.05","1","0","Ternary","0","0","MO"
"267","2","18","20","0.05","1","0","Ternary","0","0","MO"
"268","5","17","20","0.05","1","0","Ternary","0","0","MO"
"269","4","15","20","0.05","1","0","Ternary","0","0","MO"
"270","6","19","20","0.05","1","0","Ternary","0","0","MO"
"271","4","16","20","0.05","1","0","Ternary","0","0","MO"
"272","6","11","20","0.05","1","0","Ternary","0","0","MO"
"273","1","12","20","0.05","1","0","Ternary","0","0","MO"
"274","3","14","20","0.05","1","0","Ternary","0","0","MO"
"275","5","15","20","0.05","1","0","Ternary","0","0","MO"
"276","7","13","20","0.05","1","0","Ternary","0","0","MO"
"277","8","18","20","0.05","1","0","Ternary","0","0","MO"
"278","6","12","20","0.05","1","0","Ternary","0","0","MO"
"279","9","18","20","0.05","1","0","Ternary","0","0","MO"
"280","6","11","20","0.05","1","0","Ternary","0","0","MO"
"281","6","17","20","0.05","1","0","Ternary","0","0","MO"
"282","8","18","20","0.05","1","0","Ternary","0","0","MO"
"283","8","19","20","0.05","1","0","Ternary","0","0","MO"
"284","6","17","20","0.05","1","0","Ternary","0","0","MO"
"285","9","18","20","0.05","1","0","Ternary","0","0","MO"
"286","6","15","20","0.05","1","0","Ternary","0","0","MO"
"287","7","16","20","0.05","1","0","Ternary","0","0","MO"
"288","7","16","20","0.05","1","0","Ternary","0","0","MO"
"289","6","19","20","0.05","1","0","Ternary","0","0","MO"
"290","12","17","20","0.05","1","0","Ternary","0","0","MO"
"291","9","18","20","0.05","1","0","Ternary","0","0","MO"
"292","11","15","20","0.05","1","0","Ternary","0","0","MO"
"293","10","13","20","0.05","1","0","Ternary","0","0","MO"
"294","5","16","20","0.05","1","0","Ternary","0","0","MO"
"295","4","18","20","0.05","1","0","Ternary","0","0","MO"
"296","8","17","20","0.05","1","0","Ternary","0","0","MO"
"297","5","19","20","0.05","1","0","Ternary","0","0","MO"
"298","10","18","20","0.05","1","0","Ternary","0","0","MO"
"299","8","18","20","0.05","1","0","Ternary","0","0","MO"
"300","8","16","20","0.05","1","0","Ternary","0","0","MO"
"301","4","16","20","0.1","0.01","0","Ternary","0","0","MO"
"302","6","18","20","0.1","0.01","0","Ternary","0","0","MO"
"303","5","16","20","0.1","0.01","0","Ternary","0","0","MO"
"304","7","17","20","0.1","0.01","0","Ternary","0","0","MO"
"305","6","20","20","0.1","0.01","0","Ternary","0","0","MO"
"306","7","18","20","0.1","0.01","0","Ternary","0","0","MO"
"307","3","20","20","0.1","0.01","0","Ternary","0","0","MO"
"308","10","18","20","0.1","0.01","0","Ternary","0","0","MO"
"309","6","19","20","0.1","0.01","0","Ternary","0","0","MO"
"310","7","18","20","0.1","0.01","0","Ternary","0","0","MO"
"311","5","19","20","0.1","0.01","0","Ternary","0","0","MO"
"312","9","19","20","0.1","0.01","0","Ternary","0","0","MO"
"313","6","20","20","0.1","0.01","0","Ternary","0","0","MO"
"314","6","20","20","0.1","0.01","0","Ternary","0","0","MO"
"315","8","16","20","0.1","0.01","0","Ternary","0","0","MO"
"316","8","17","20","0.1","0.01","0","Ternary","0","0","MO"
"317","4","18","20","0.1","0.01","0","Ternary","0","0","MO"
"318","3","19","20","0.1","0.01","0","Ternary","0","0","MO"
"319","7","16","20","0.1","0.01","0","Ternary","0","0","MO"
"320","9","19","20","0.1","0.01","0","Ternary","0","0","MO"
"321","6","17","20","0.1","0.01","0","Ternary","0","0","MO"
"322","6","17","20","0.1","0.01","0","Ternary","0","0","MO"
"323","3","19","20","0.1","0.01","0","Ternary","0","0","MO"
"324","5","19","20","0.1","0.01","0","Ternary","0","0","MO"
"325","7","14","20","0.1","0.01","0","Ternary","0","0","MO"
"326","4","20","20","0.1","0.01","0","Ternary","0","0","MO"
"327","9","18","20","0.1","0.01","0","Ternary","0","0","MO"
"328","5","18","20","0.1","0.01","0","Ternary","0","0","MO"
"329","6","19","20","0.1","0.01","0","Ternary","0","0","MO"
"330","4","19","20","0.1","0.01","0","Ternary","0","0","MO"
"331","6","16","20","0.1","0.01","0","Ternary","0","0","MO"
"332","5","19","20","0.1","0.01","0","Ternary","0","0","MO"
"333","5","18","20","0.1","0.01","0","Ternary","0","0","MO"
"334","9","18","20","0.1","0.01","0","Ternary","0","0","MO"
"335","8","19","20","0.1","0.01","0","Ternary","0","0","MO"
"336","6","18","20","0.1","0.01","0","Ternary","0","0","MO"
"337","6","15","20","0.1","0.01","0","Ternary","0","0","MO"
"338","6","18","20","0.1","0.01","0","Ternary","0","0","MO"
"339","10","20","20","0.1","0.01","0","Ternary","0","0","MO"
"340","9","18","20","0.1","0.01","0","Ternary","0","0","MO"
"341","9","17","20","0.1","0.01","0","Ternary","0","0","MO"
"342","9","20","20","0.1","0.01","0","Ternary","0","0","MO"
"343","8","18","20","0.1","0.01","0","Ternary","0","0","MO"
"344","4","16","20","0.1","0.01","0","Ternary","0","0","MO"
"345","5","20","20","0.1","0.01","0","Ternary","0","0","MO"
"346","9","16","20","0.1","0.01","0","Ternary","0","0","MO"
"347","9","18","20","0.1","0.01","0","Ternary","0","0","MO"
"348","9","14","20","0.1","0.01","0","Ternary","0","0","MO"
"349","6","18","20","0.1","0.01","0","Ternary","0","0","MO"
"350","14","19","20","0.1","0.01","0","Ternary","0","0","MO"
"351","8","20","20","0.1","0.01","0","Ternary","0","0","MO"
"352","2","17","20","0.1","0.01","0","Ternary","0","0","MO"
"353","10","19","20","0.1","0.01","0","Ternary","0","0","MO"
"354","4","20","20","0.1","0.01","0","Ternary","0","0","MO"
"355","11","20","20","0.1","0.01","0","Ternary","0","0","MO"
"356","10","19","20","0.1","0.01","0","Ternary","0","0","MO"
"357","6","19","20","0.1","0.01","0","Ternary","0","0","MO"
"358","6","18","20","0.1","0.01","0","Ternary","0","0","MO"
"359","7","20","20","0.1","0.01","0","Ternary","0","0","MO"
"360","3","16","20","0.1","0.01","0","Ternary","0","0","MO"
"361","1","19","20","0.1","0.01","0","Ternary","0","0","MO"
"362","8","19","20","0.1","0.01","0","Ternary","0","0","MO"
"363","4","17","20","0.1","0.01","0","Ternary","0","0","MO"
"364","5","17","20","0.1","0.01","0","Ternary","0","0","MO"
"365","6","20","20","0.1","0.01","0","Ternary","0","0","MO"
"366","8","19","20","0.1","0.01","0","Ternary","0","0","MO"
"367","5","16","20","0.1","0.01","0","Ternary","0","0","MO"
"368","4","18","20","0.1","0.01","0","Ternary","0","0","MO"
"369","8","15","20","0.1","0.01","0","Ternary","0","0","MO"
"370","8","17","20","0.1","0.01","0","Ternary","0","0","MO"
"371","5","16","20","0.1","0.01","0","Ternary","0","0","MO"
"372","4","19","20","0.1","0.01","0","Ternary","0","0","MO"
"373","7","18","20","0.1","0.01","0","Ternary","0","0","MO"
"374","4","19","20","0.1","0.01","0","Ternary","0","0","MO"
"375","7","16","20","0.1","0.01","0","Ternary","0","0","MO"
"376","6","19","20","0.1","0.01","0","Ternary","0","0","MO"
"377","12","19","20","0.1","0.01","0","Ternary","0","0","MO"
"378","5","17","20","0.1","0.01","0","Ternary","0","0","MO"
"379","5","17","20","0.1","0.01","0","Ternary","0","0","MO"
"380","8","19","20","0.1","0.01","0","Ternary","0","0","MO"
"381","3","18","20","0.1","0.01","0","Ternary","0","0","MO"
"382","13","18","20","0.1","0.01","0","Ternary","0","0","MO"
"383","5","17","20","0.1","0.01","0","Ternary","0","0","MO"
"384","7","19","20","0.1","0.01","0","Ternary","0","0","MO"
"385","6","18","20","0.1","0.01","0","Ternary","0","0","MO"
"386","2","16","20","0.1","0.01","0","Ternary","0","0","MO"
"387","9","19","20","0.1","0.01","0","Ternary","0","0","MO"
"388","12","20","20","0.1","0.01","0","Ternary","0","0","MO"
"389","5","20","20","0.1","0.01","0","Ternary","0","0","MO"
"390","5","18","20","0.1","0.01","0","Ternary","0","0","MO"
"391","7","16","20","0.1","0.01","0","Ternary","0","0","MO"
"392","7","16","20","0.1","0.01","0","Ternary","0","0","MO"
"393","9","18","20","0.1","0.01","0","Ternary","0","0","MO"
"394","7","20","20","0.1","0.01","0","Ternary","0","0","MO"
"395","5","18","20","0.1","0.01","0","Ternary","0","0","MO"
"396","11","20","20","0.1","0.01","0","Ternary","0","0","MO"
"397","8","20","20","0.1","0.01","0","Ternary","0","0","MO"
"398","8","17","20","0.1","0.01","0","Ternary","0","0","MO"
"399","5","20","20","0.1","0.01","0","Ternary","0","0","MO"
"400","9","19","20","0.1","0.01","0","Ternary","0","0","MO"
"401","9","16","20","0.1","0.1","0","Ternary","0","0","MO"
"402","10","20","20","0.1","0.1","0","Ternary","0","0","MO"
"403","5","19","20","0.1","0.1","0","Ternary","0","0","MO"
"404","8","20","20","0.1","0.1","0","Ternary","0","0","MO"
"405","5","18","20","0.1","0.1","0","Ternary","0","0","MO"
"406","4","16","20","0.1","0.1","0","Ternary","0","0","MO"
"407","4","18","20","0.1","0.1","0","Ternary","0","0","MO"
"408","4","18","20","0.1","0.1","0","Ternary","0","0","MO"
"409","8","17","20","0.1","0.1","0","Ternary","0","0","MO"
"410","6","17","20","0.1","0.1","0","Ternary","0","0","MO"
"411","9","20","20","0.1","0.1","0","Ternary","0","0","MO"
"412","5","18","20","0.1","0.1","0","Ternary","0","0","MO"
"413","6","19","20","0.1","0.1","0","Ternary","0","0","MO"
"414","4","20","20","0.1","0.1","0","Ternary","0","0","MO"
"415","6","19","20","0.1","0.1","0","Ternary","0","0","MO"
"416","8","16","20","0.1","0.1","0","Ternary","0","0","MO"
"417","6","20","20","0.1","0.1","0","Ternary","0","0","MO"
"418","4","19","20","0.1","0.1","0","Ternary","0","0","MO"
"419","7","16","20","0.1","0.1","0","Ternary","0","0","MO"
"420","14","18","20","0.1","0.1","0","Ternary","0","0","MO"
"421","7","19","20","0.1","0.1","0","Ternary","0","0","MO"
"422","4","14","20","0.1","0.1","0","Ternary","0","0","MO"
"423","5","15","20","0.1","0.1","0","Ternary","0","0","MO"
"424","8","18","20","0.1","0.1","0","Ternary","0","0","MO"
"425","3","19","20","0.1","0.1","0","Ternary","0","0","MO"
"426","8","20","20","0.1","0.1","0","Ternary","0","0","MO"
"427","6","17","20","0.1","0.1","0","Ternary","0","0","MO"
"428","6","18","20","0.1","0.1","0","Ternary","0","0","MO"
"429","10","19","20","0.1","0.1","0","Ternary","0","0","MO"
"430","6","18","20","0.1","0.1","0","Ternary","0","0","MO"
"431","5","17","20","0.1","0.1","0","Ternary","0","0","MO"
"432","3","17","20","0.1","0.1","0","Ternary","0","0","MO"
"433","7","18","20","0.1","0.1","0","Ternary","0","0","MO"
"434","9","20","20","0.1","0.1","0","Ternary","0","0","MO"
"435","9","20","20","0.1","0.1","0","Ternary","0","0","MO"
"436","5","18","20","0.1","0.1","0","Ternary","0","0","MO"
"437","4","16","20","0.1","0.1","0","Ternary","0","0","MO"
"438","6","12","20","0.1","0.1","0","Ternary","0","0","MO"
"439","7","15","20","0.1","0.1","0","Ternary","0","0","MO"
"440","6","19","20","0.1","0.1","0","Ternary","0","0","MO"
"441","6","19","20","0.1","0.1","0","Ternary","0","0","MO"
