"","alpha","beta","METHOD","Genotype","Missing","Inferred","True","measurement"
"54",0.1,0.1,"MO","Ternary","10%",633,1600,0.395625
"55",0.2,0.1,"MO","Ternary","10%",375,1600,0.234375
"56",0.4,0.1,"MO","Ternary","10%",162,1600,0.10125
"57",0.05,0.2,"MO","Ternary","10%",711,1600,0.444375
"58",0.1,0.2,"MO","Ternary","10%",522,1600,0.32625
"59",0.2,0.2,"MO","Ternary","10%",315,1600,0.196875
"60",0.4,0.2,"MO","Ternary","10%",129,1600,0.080625
"61",0.05,0.4,"MO","Ternary","10%",460,1600,0.2875
"62",0.1,0.4,"MO","Ternary","10%",326,1600,0.20375
"63",0.2,0.4,"MO","Ternary","10%",195,1600,0.121875
"64",0.4,0.4,"MO","Ternary","10%",73,1600,0.045625
"65",0.05,0.05,"SCITE","Ternary","10%",846,1600,0.52875
"66",0.1,0.05,"SCITE","Ternary","10%",616,1600,0.385
"67",0.2,0.05,"SCITE","Ternary","10%",331,1600,0.206875
"68",0.4,0.05,"SCITE","Ternary","10%",165,1600,0.103125
"69",0.05,0.1,"SCITE","Ternary","10%",743,1600,0.464375
"70",0.1,0.1,"SCITE","Ternary","10%",478,1600,0.29875
"71",0.2,0.1,"SCITE","Ternary","10%",265,1600,0.165625
"72",0.4,0.1,"SCITE","Ternary","10%",151,1600,0.094375
"73",0.05,0.2,"SCITE","Ternary","10%",670,1600,0.41875
"74",0.1,0.2,"SCITE","Ternary","10%",403,1600,0.251875
"75",0.2,0.2,"SCITE","Ternary","10%",249,1600,0.155625
"76",0.4,0.2,"SCITE","Ternary","10%",144,1600,0.09
"77",0.05,0.4,"SCITE","Ternary","10%",434,1600,0.27125
"78",0.1,0.4,"SCITE","Ternary","10%",286,1600,0.17875
"79",0.2,0.4,"SCITE","Ternary","10%",163,1600,0.101875
"80",0.4,0.4,"SCITE","Ternary","10%",122,1600,0.07625
"81",0.05,0.05,"MO","Binary","20%",769,1600,0.480625
"82",0.1,0.05,"MO","Binary","20%",642,1600,0.40125
"83",0.2,0.05,"MO","Binary","20%",404,1600,0.2525
"84",0.4,0.05,"MO","Binary","20%",193,1600,0.120625
"85",0.05,0.1,"MO","Binary","20%",678,1600,0.42375
"86",0.1,0.1,"MO","Binary","20%",556,1600,0.3475
"87",0.2,0.1,"MO","Binary","20%",328,1600,0.205
"88",0.4,0.1,"MO","Binary","20%",138,1600,0.08625
"89",0.05,0.2,"MO","Binary","20%",553,1600,0.345625
"90",0.1,0.2,"MO","Binary","20%",431,1600,0.269375
"91",0.2,0.2,"MO","Binary","20%",257,1600,0.160625
"92",0.4,0.2,"MO","Binary","20%",110,1600,0.06875
"93",0.05,0.4,"MO","Binary","20%",318,1600,0.19875
"94",0.1,0.4,"MO","Binary","20%",221,1600,0.138125
"95",0.2,0.4,"MO","Binary","20%",146,1600,0.09125
"96",0.4,0.4,"MO","Binary","20%",52,1600,0.0325
"97",0.05,0.05,"SCITE","Binary","20%",620,1600,0.3875
"98",0.1,0.05,"SCITE","Binary","20%",460,1600,0.2875
"99",0.2,0.05,"SCITE","Binary","20%",252,1600,0.1575
"100",0.4,0.05,"SCITE","Binary","20%",138,1600,0.08625
"101",0.05,0.1,"SCITE","Binary","20%",554,1600,0.34625
"102",0.1,0.1,"SCITE","Binary","20%",370,1600,0.23125
"103",0.2,0.1,"SCITE","Binary","20%",212,1600,0.1325
"104",0.4,0.1,"SCITE","Binary","20%",139,1600,0.086875
"105",0.05,0.2,"SCITE","Binary","20%",529,1600,0.330625
"106",0.1,0.2,"SCITE","Binary","20%",322,1600,0.20125
"107",0.2,0.2,"SCITE","Binary","20%",220,1600,0.1375
"108",0.4,0.2,"SCITE","Binary","20%",123,1600,0.076875
"109",0.05,0.4,"SCITE","Binary","20%",358,1600,0.22375
"110",0.1,0.4,"SCITE","Binary","20%",222,1600,0.13875
"111",0.2,0.4,"SCITE","Binary","20%",162,1600,0.10125
"112",0.4,0.4,"SCITE","Binary","20%",94,1600,0.05875
"113",0.05,0.05,"SiFit","Binary","20%",352,1600,0.22
"114",0.1,0.05,"SiFit","Binary","20%",312,1600,0.195
"115",0.2,0.05,"SiFit","Binary","20%",230,1600,0.14375
"116",0.4,0.05,"SiFit","Binary","20%",95,1600,0.059375
"117",0.05,0.1,"SiFit","Binary","20%",296,1600,0.185
"118",0.1,0.1,"SiFit","Binary","20%",265,1600,0.165625
"119",0.2,0.1,"SiFit","Binary","20%",174,1600,0.10875
"120",0.4,0.1,"SiFit","Binary","20%",68,1600,0.0425
"121",0.05,0.2,"SiFit","Binary","20%",256,1600,0.16
"122",0.1,0.2,"SiFit","Binary","20%",208,1600,0.13
"123",0.2,0.2,"SiFit","Binary","20%",133,1600,0.083125
"124",0.4,0.2,"SiFit","Binary","20%",60,1600,0.0375
"125",0.05,0.4,"SiFit","Binary","20%",146,1600,0.09125
"126",0.1,0.4,"SiFit","Binary","20%",123,1600,0.076875
"127",0.2,0.4,"SiFit","Binary","20%",64,1600,0.04
"128",0.4,0.4,"SiFit","Binary","20%",16,1600,0.01
"129",0.05,0.05,"MO","Ternary","20%",786,1600,0.49125
"130",0.1,0.05,"MO","Ternary","20%",643,1600,0.401875
"131",0.2,0.05,"MO","Ternary","20%",402,1600,0.25125
"132",0.4,0.05,"MO","Ternary","20%",202,1600,0.12625
"133",0.05,0.1,"MO","Ternary","20%",708,1600,0.4425
"134",0.1,0.1,"MO","Ternary","20%",569,1600,0.355625
"135",0.2,0.1,"MO","Ternary","20%",343,1600,0.214375
"136",0.4,0.1,"MO","Ternary","20%",145,1600,0.090625
"137",0.05,0.2,"MO","Ternary","20%",595,1600,0.371875
"138",0.1,0.2,"MO","Ternary","20%",468,1600,0.2925
"139",0.2,0.2,"MO","Ternary","20%",275,1600,0.171875
"140",0.4,0.2,"MO","Ternary","20%",108,1600,0.0675
"141",0.05,0.4,"MO","Ternary","20%",377,1600,0.235625
"142",0.1,0.4,"MO","Ternary","20%",262,1600,0.16375
"143",0.2,0.4,"MO","Ternary","20%",184,1600,0.115
"144",0.4,0.4,"MO","Ternary","20%",56,1600,0.035
"145",0.05,0.05,"SCITE","Ternary","20%",671,1600,0.419375
"146",0.1,0.05,"SCITE","Ternary","20%",489,1600,0.305625
"147",0.2,0.05,"SCITE","Ternary","20%",250,1600,0.15625
"148",0.4,0.05,"SCITE","Ternary","20%",148,1600,0.0925
"149",0.05,0.1,"SCITE","Ternary","20%",565,1600,0.353125
"150",0.1,0.1,"SCITE","Ternary","20%",396,1600,0.2475
"151",0.2,0.1,"SCITE","Ternary","20%",269,1600,0.168125
"152",0.4,0.1,"SCITE","Ternary","20%",141,1600,0.088125
"153",0.05,0.2,"SCITE","Ternary","20%",511,1600,0.319375
"154",0.1,0.2,"SCITE","Ternary","20%",341,1600,0.213125
"155",0.2,0.2,"SCITE","Ternary","20%",189,1600,0.118125
"156",0.4,0.2,"SCITE","Ternary","20%",120,1600,0.075
"157",0.05,0.4,"SCITE","Ternary","20%",368,1600,0.23
"158",0.1,0.4,"SCITE","Ternary","20%",227,1600,0.141875
"159",0.2,0.4,"SCITE","Ternary","20%",149,1600,0.093125
"160",0.4,0.4,"SCITE","Ternary","20%",113,1600,0.070625
"161",0.05,0.05,"MO","Binary","complete",1130,1600,0.70625
"162",0.1,0.05,"MO","Binary","complete",918,1600,0.57375
"163",0.2,0.05,"MO","Binary","complete",586,1600,0.36625
"164",0.4,0.05,"MO","Binary","complete",233,1600,0.145625
"165",0.05,0.1,"MO","Binary","complete",989,1600,0.618125
"166",0.1,0.1,"MO","Binary","complete",742,1600,0.46375
"167",0.2,0.1,"MO","Binary","complete",455,1600,0.284375
"168",0.4,0.1,"MO","Binary","complete",175,1600,0.109375
"169",0.05,0.2,"MO","Binary","complete",798,1600,0.49875
"170",0.1,0.2,"MO","Binary","complete",595,1600,0.371875
"171",0.2,0.2,"MO","Binary","complete",323,1600,0.201875
"172",0.4,0.2,"MO","Binary","complete",113,1600,0.070625
"173",0.05,0.4,"MO","Binary","complete",457,1600,0.285625
"174",0.1,0.4,"MO","Binary","complete",317,1600,0.198125
"175",0.2,0.4,"MO","Binary","complete",181,1600,0.113125
"176",0.4,0.4,"MO","Binary","complete",50,1600,0.03125
"177",0.05,0.05,"SCITE","Binary","complete",1007,1600,0.629375
"178",0.1,0.05,"SCITE","Binary","complete",712,1600,0.445
"179",0.2,0.05,"SCITE","Binary","complete",371,1600,0.231875
"180",0.4,0.05,"SCITE","Binary","complete",154,1600,0.09625
"181",0.05,0.1,"SCITE","Binary","complete",954,1600,0.59625
"182",0.1,0.1,"SCITE","Binary","complete",606,1600,0.37875
"183",0.2,0.1,"SCITE","Binary","complete",305,1600,0.190625
"184",0.4,0.1,"SCITE","Binary","complete",188,1600,0.1175
"185",0.05,0.2,"SCITE","Binary","complete",786,1600,0.49125
"186",0.1,0.2,"SCITE","Binary","complete",480,1600,0.3
"187",0.2,0.2,"SCITE","Binary","complete",258,1600,0.16125
"188",0.4,0.2,"SCITE","Binary","complete",130,1600,0.08125
"189",0.05,0.4,"SCITE","Binary","complete",479,1600,0.299375
"190",0.1,0.4,"SCITE","Binary","complete",288,1600,0.18
"191",0.2,0.4,"SCITE","Binary","complete",171,1600,0.106875
"192",0.4,0.4,"SCITE","Binary","complete",118,1600,0.07375
"193",0.05,0.05,"SiFit","Binary","complete",474,1600,0.29625
"194",0.1,0.05,"SiFit","Binary","complete",423,1600,0.264375
"195",0.2,0.05,"SiFit","Binary","complete",328,1600,0.205
"196",0.4,0.05,"SiFit","Binary","complete",143,1600,0.089375
"197",0.05,0.1,"SiFit","Binary","complete",402,1600,0.25125
"198",0.1,0.1,"SiFit","Binary","complete",354,1600,0.22125
"199",0.2,0.1,"SiFit","Binary","complete",262,1600,0.16375
"200",0.4,0.1,"SiFit","Binary","complete",105,1600,0.065625
"201",0.05,0.2,"SiFit","Binary","complete",337,1600,0.210625
"202",0.1,0.2,"SiFit","Binary","complete",280,1600,0.175
"203",0.2,0.2,"SiFit","Binary","complete",179,1600,0.111875
"204",0.4,0.2,"SiFit","Binary","complete",85,1600,0.053125
"205",0.05,0.4,"SiFit","Binary","complete",192,1600,0.12
"206",0.1,0.4,"SiFit","Binary","complete",158,1600,0.09875
"207",0.2,0.4,"SiFit","Binary","complete",89,1600,0.055625
"208",0.4,0.4,"SiFit","Binary","complete",20,1600,0.0125
"209",0.05,0.05,"MO","Ternary","complete",1149,1600,0.718125
"210",0.1,0.05,"MO","Ternary","complete",924,1600,0.5775
"211",0.2,0.05,"MO","Ternary","complete",585,1600,0.365625
"212",0.4,0.05,"MO","Ternary","complete",237,1600,0.148125
"213",0.05,0.1,"MO","Ternary","complete",1036,1600,0.6475
"214",0.1,0.1,"MO","Ternary","complete",765,1600,0.478125
"215",0.2,0.1,"MO","Ternary","complete",468,1600,0.2925
"216",0.4,0.1,"MO","Ternary","complete",184,1600,0.115
"217",0.05,0.2,"MO","Ternary","complete",843,1600,0.526875
"218",0.1,0.2,"MO","Ternary","complete",630,1600,0.39375
"219",0.2,0.2,"MO","Ternary","complete",352,1600,0.22
"220",0.4,0.2,"MO","Ternary","complete",138,1600,0.08625
"221",0.05,0.4,"MO","Ternary","complete",560,1600,0.35
"222",0.1,0.4,"MO","Ternary","complete",376,1600,0.235
"223",0.2,0.4,"MO","Ternary","complete",229,1600,0.143125
"224",0.4,0.4,"MO","Ternary","complete",67,1600,0.041875
"225",0.05,0.05,"SCITE","Ternary","complete",1040,1600,0.65
"226",0.1,0.05,"SCITE","Ternary","complete",743,1600,0.464375
"227",0.2,0.05,"SCITE","Ternary","complete",384,1600,0.24
"228",0.4,0.05,"SCITE","Ternary","complete",146,1600,0.09125
"229",0.05,0.1,"SCITE","Ternary","complete",943,1600,0.589375
"230",0.1,0.1,"SCITE","Ternary","complete",589,1600,0.368125
"231",0.2,0.1,"SCITE","Ternary","complete",319,1600,0.199375
"232",0.4,0.1,"SCITE","Ternary","complete",162,1600,0.10125
"233",0.05,0.2,"SCITE","Ternary","complete",756,1600,0.4725
"234",0.1,0.2,"SCITE","Ternary","complete",495,1600,0.309375
"235",0.2,0.2,"SCITE","Ternary","complete",252,1600,0.1575
"236",0.4,0.2,"SCITE","Ternary","complete",128,1600,0.08
"237",0.05,0.4,"SCITE","Ternary","complete",528,1600,0.33
"238",0.1,0.4,"SCITE","Ternary","complete",337,1600,0.210625
"239",0.2,0.4,"SCITE","Ternary","complete",163,1600,0.101875
"240",0.4,0.4,"SCITE","Ternary","complete",126,1600,0.07875
