"","alpha","beta","METHOD","Genotype","Missing","Inferred","True","measurement"
"122",0.1,0.2,"SiFit","Binary","20%",184,1600,0.115
"123",0.2,0.2,"SiFit","Binary","20%",159,1600,0.099375
"124",0.4,0.2,"SiFit","Binary","20%",117,1600,0.073125
"125",0.05,0.4,"SiFit","Binary","20%",157,1600,0.098125
"126",0.1,0.4,"SiFit","Binary","20%",156,1600,0.0975
"127",0.2,0.4,"SiFit","Binary","20%",128,1600,0.08
"128",0.4,0.4,"SiFit","Binary","20%",82,1600,0.05125
"129",0.05,0.05,"MO","Ternary","20%",739,1600,0.461875
"130",0.1,0.05,"MO","Ternary","20%",642,1600,0.40125
"131",0.2,0.05,"MO","Ternary","20%",388,1600,0.2425
"132",0.4,0.05,"MO","Ternary","20%",180,1600,0.1125
"133",0.05,0.1,"MO","Ternary","20%",650,1600,0.40625
"134",0.1,0.1,"MO","Ternary","20%",522,1600,0.32625
"135",0.2,0.1,"MO","Ternary","20%",325,1600,0.203125
"136",0.4,0.1,"MO","Ternary","20%",156,1600,0.0975
"137",0.05,0.2,"MO","Ternary","20%",580,1600,0.3625
"138",0.1,0.2,"MO","Ternary","20%",460,1600,0.2875
"139",0.2,0.2,"MO","Ternary","20%",285,1600,0.178125
"140",0.4,0.2,"MO","Ternary","20%",115,1600,0.071875
"141",0.05,0.4,"MO","Ternary","20%",364,1600,0.2275
"142",0.1,0.4,"MO","Ternary","20%",260,1600,0.1625
"143",0.2,0.4,"MO","Ternary","20%",179,1600,0.111875
"144",0.4,0.4,"MO","Ternary","20%",65,1600,0.040625
"145",0.05,0.05,"SCITE","Ternary","20%",639,1600,0.399375
"146",0.1,0.05,"SCITE","Ternary","20%",479,1600,0.299375
"147",0.2,0.05,"SCITE","Ternary","20%",270,1600,0.16875
"148",0.4,0.05,"SCITE","Ternary","20%",132,1600,0.0825
"149",0.05,0.1,"SCITE","Ternary","20%",576,1600,0.36
"150",0.1,0.1,"SCITE","Ternary","20%",399,1600,0.249375
"151",0.2,0.1,"SCITE","Ternary","20%",258,1600,0.16125
"152",0.4,0.1,"SCITE","Ternary","20%",138,1600,0.08625
"153",0.05,0.2,"SCITE","Ternary","20%",539,1600,0.336875
"154",0.1,0.2,"SCITE","Ternary","20%",372,1600,0.2325
"155",0.2,0.2,"SCITE","Ternary","20%",196,1600,0.1225
"156",0.4,0.2,"SCITE","Ternary","20%",133,1600,0.083125
"157",0.05,0.4,"SCITE","Ternary","20%",378,1600,0.23625
"158",0.1,0.4,"SCITE","Ternary","20%",246,1600,0.15375
"159",0.2,0.4,"SCITE","Ternary","20%",158,1600,0.09875
"160",0.4,0.4,"SCITE","Ternary","20%",92,1600,0.0575
"161",0.05,0.05,"MO","Binary","complete",1082,1600,0.67625
"162",0.1,0.05,"MO","Binary","complete",916,1600,0.5725
"163",0.2,0.05,"MO","Binary","complete",508,1600,0.3175
"164",0.4,0.05,"MO","Binary","complete",218,1600,0.13625
"165",0.05,0.1,"MO","Binary","complete",942,1600,0.58875
"166",0.1,0.1,"MO","Binary","complete",730,1600,0.45625
"167",0.2,0.1,"MO","Binary","complete",454,1600,0.28375
"168",0.4,0.1,"MO","Binary","complete",165,1600,0.103125
"169",0.05,0.2,"MO","Binary","complete",788,1600,0.4925
"170",0.1,0.2,"MO","Binary","complete",635,1600,0.396875
"171",0.2,0.2,"MO","Binary","complete",345,1600,0.215625
"172",0.4,0.2,"MO","Binary","complete",114,1600,0.07125
"173",0.05,0.4,"MO","Binary","complete",459,1600,0.286875
"174",0.1,0.4,"MO","Binary","complete",297,1600,0.185625
"175",0.2,0.4,"MO","Binary","complete",193,1600,0.120625
"176",0.4,0.4,"MO","Binary","complete",49,1600,0.030625
"177",0.05,0.05,"SCITE","Binary","complete",995,1600,0.621875
"178",0.1,0.05,"SCITE","Binary","complete",709,1600,0.443125
"179",0.2,0.05,"SCITE","Binary","complete",376,1600,0.235
"180",0.4,0.05,"SCITE","Binary","complete",138,1600,0.08625
"181",0.05,0.1,"SCITE","Binary","complete",879,1600,0.549375
"182",0.1,0.1,"SCITE","Binary","complete",562,1600,0.35125
"183",0.2,0.1,"SCITE","Binary","complete",306,1600,0.19125
"184",0.4,0.1,"SCITE","Binary","complete",156,1600,0.0975
"185",0.05,0.2,"SCITE","Binary","complete",735,1600,0.459375
"186",0.1,0.2,"SCITE","Binary","complete",515,1600,0.321875
"187",0.2,0.2,"SCITE","Binary","complete",245,1600,0.153125
"188",0.4,0.2,"SCITE","Binary","complete",148,1600,0.0925
"189",0.05,0.4,"SCITE","Binary","complete",440,1600,0.275
"190",0.1,0.4,"SCITE","Binary","complete",278,1600,0.17375
"191",0.2,0.4,"SCITE","Binary","complete",167,1600,0.104375
"192",0.4,0.4,"SCITE","Binary","complete",92,1600,0.0575
"193",0.05,0.05,"SiFit","Binary","complete",415,1600,0.259375
"194",0.1,0.05,"SiFit","Binary","complete",393,1600,0.245625
"195",0.2,0.05,"SiFit","Binary","complete",291,1600,0.181875
"196",0.4,0.05,"SiFit","Binary","complete",191,1600,0.119375
"197",0.05,0.1,"SiFit","Binary","complete",367,1600,0.229375
"198",0.1,0.1,"SiFit","Binary","complete",323,1600,0.201875
"199",0.2,0.1,"SiFit","Binary","complete",264,1600,0.165
"200",0.4,0.1,"SiFit","Binary","complete",168,1600,0.105
"201",0.05,0.2,"SiFit","Binary","complete",295,1600,0.184375
"202",0.1,0.2,"SiFit","Binary","complete",254,1600,0.15875
"203",0.2,0.2,"SiFit","Binary","complete",195,1600,0.121875
"204",0.4,0.2,"SiFit","Binary","complete",124,1600,0.0775
"205",0.05,0.4,"SiFit","Binary","complete",194,1600,0.12125
"206",0.1,0.4,"SiFit","Binary","complete",179,1600,0.111875
"207",0.2,0.4,"SiFit","Binary","complete",134,1600,0.08375
"208",0.4,0.4,"SiFit","Binary","complete",90,1600,0.05625
"209",0.05,0.05,"MO","Ternary","complete",1108,1600,0.6925
"210",0.1,0.05,"MO","Ternary","complete",934,1600,0.58375
"211",0.2,0.05,"MO","Ternary","complete",526,1600,0.32875
"212",0.4,0.05,"MO","Ternary","complete",216,1600,0.135
"213",0.05,0.1,"MO","Ternary","complete",990,1600,0.61875
"214",0.1,0.1,"MO","Ternary","complete",754,1600,0.47125
"215",0.2,0.1,"MO","Ternary","complete",472,1600,0.295
"216",0.4,0.1,"MO","Ternary","complete",162,1600,0.10125
"217",0.05,0.2,"MO","Ternary","complete",844,1600,0.5275
"218",0.1,0.2,"MO","Ternary","complete",652,1600,0.4075
"219",0.2,0.2,"MO","Ternary","complete",366,1600,0.22875
"220",0.4,0.2,"MO","Ternary","complete",137,1600,0.085625
"221",0.05,0.4,"MO","Ternary","complete",545,1600,0.340625
"222",0.1,0.4,"MO","Ternary","complete",370,1600,0.23125
"223",0.2,0.4,"MO","Ternary","complete",229,1600,0.143125
"224",0.4,0.4,"MO","Ternary","complete",73,1600,0.045625
"225",0.05,0.05,"SCITE","Ternary","complete",1038,1600,0.64875
"226",0.1,0.05,"SCITE","Ternary","complete",749,1600,0.468125
"227",0.2,0.05,"SCITE","Ternary","complete",396,1600,0.2475
"228",0.4,0.05,"SCITE","Ternary","complete",155,1600,0.096875
"229",0.05,0.1,"SCITE","Ternary","complete",877,1600,0.548125
"230",0.1,0.1,"SCITE","Ternary","complete",565,1600,0.353125
"231",0.2,0.1,"SCITE","Ternary","complete",329,1600,0.205625
"232",0.4,0.1,"SCITE","Ternary","complete",139,1600,0.086875
"233",0.05,0.2,"SCITE","Ternary","complete",733,1600,0.458125
"234",0.1,0.2,"SCITE","Ternary","complete",519,1600,0.324375
"235",0.2,0.2,"SCITE","Ternary","complete",268,1600,0.1675
"236",0.4,0.2,"SCITE","Ternary","complete",146,1600,0.09125
"237",0.05,0.4,"SCITE","Ternary","complete",576,1600,0.36
"238",0.1,0.4,"SCITE","Ternary","complete",308,1600,0.1925
"239",0.2,0.4,"SCITE","Ternary","complete",174,1600,0.10875
"240",0.4,0.4,"SCITE","Ternary","complete",111,1600,0.069375
