"","alpha","beta","METHOD","Genotype","Missing","Inferred","True","measurement"
"145",0.05,0.05,"SCITE","Ternary","20%",3150,4252,0.740827845719661
"146",0.1,0.05,"SCITE","Ternary","20%",2927,4252,0.688381937911571
"147",0.2,0.05,"SCITE","Ternary","20%",2356,4252,0.55409219190969
"148",0.4,0.05,"SCITE","Ternary","20%",2040,4252,0.479774223894638
"149",0.05,0.1,"SCITE","Ternary","20%",2991,4252,0.70343367826905
"150",0.1,0.1,"SCITE","Ternary","20%",2693,4252,0.633349012229539
"151",0.2,0.1,"SCITE","Ternary","20%",2340,4252,0.55032925682032
"152",0.4,0.1,"SCITE","Ternary","20%",2094,4252,0.492474129821261
"153",0.05,0.2,"SCITE","Ternary","20%",2825,4252,0.664393226716839
"154",0.1,0.2,"SCITE","Ternary","20%",2481,4252,0.58349012229539
"155",0.2,0.2,"SCITE","Ternary","20%",2114,4252,0.497177798682973
"156",0.4,0.2,"SCITE","Ternary","20%",1808,4252,0.425211665098777
"157",0.05,0.4,"SCITE","Ternary","20%",2451,4252,0.576434619002822
"158",0.1,0.4,"SCITE","Ternary","20%",2201,4252,0.51763875823142
"159",0.2,0.4,"SCITE","Ternary","20%",1703,4252,0.400517403574788
"160",0.4,0.4,"SCITE","Ternary","20%",1737,4252,0.408513640639699
"161",0.05,0.05,"MO","Binary","complete",3625,4252,0.852539981185325
"162",0.1,0.05,"MO","Binary","complete",3350,4252,0.787864534336783
"163",0.2,0.05,"MO","Binary","complete",2796,4252,0.657572906867357
"164",0.4,0.05,"MO","Binary","complete",2089,4252,0.491298212605833
"165",0.05,0.1,"MO","Binary","complete",3509,4252,0.825258701787394
"166",0.1,0.1,"MO","Binary","complete",3128,4252,0.735653809971778
"167",0.2,0.1,"MO","Binary","complete",2659,4252,0.625352775164628
"168",0.4,0.1,"MO","Binary","complete",1935,4252,0.455079962370649
"169",0.05,0.2,"MO","Binary","complete",3310,4252,0.778457196613358
"170",0.1,0.2,"MO","Binary","complete",2954,4252,0.694731890874882
"171",0.2,0.2,"MO","Binary","complete",2316,4252,0.544684854186265
"172",0.4,0.2,"MO","Binary","complete",1671,4252,0.392991533396049
"173",0.05,0.4,"MO","Binary","complete",2784,4252,0.654750705550329
"174",0.1,0.4,"MO","Binary","complete",2382,4252,0.560206961429915
"175",0.2,0.4,"MO","Binary","complete",1785,4252,0.419802445907808
"176",0.4,0.4,"MO","Binary","complete",1088,4252,0.25587958607714
"177",0.05,0.05,"SCITE","Binary","complete",3601,4252,0.84689557855127
"178",0.1,0.05,"SCITE","Binary","complete",3264,4252,0.76763875823142
"179",0.2,0.05,"SCITE","Binary","complete",2703,4252,0.635700846660395
"180",0.4,0.05,"SCITE","Binary","complete",2280,4252,0.536218250235183
"181",0.05,0.1,"SCITE","Binary","complete",3598,4252,0.846190028222013
"182",0.1,0.1,"SCITE","Binary","complete",3138,4252,0.738005644402634
"183",0.2,0.1,"SCITE","Binary","complete",2660,4252,0.625587958607714
"184",0.4,0.1,"SCITE","Binary","complete",2307,4252,0.542568203198495
"185",0.05,0.2,"SCITE","Binary","complete",3360,4252,0.790216368767639
"186",0.1,0.2,"SCITE","Binary","complete",3045,4252,0.716133584195673
"187",0.2,0.2,"SCITE","Binary","complete",2507,4252,0.589604891815616
"188",0.4,0.2,"SCITE","Binary","complete",2205,4252,0.518579492003763
"189",0.05,0.4,"SCITE","Binary","complete",2987,4252,0.702492944496707
"190",0.1,0.4,"SCITE","Binary","complete",2649,4252,0.623000940733772
"191",0.2,0.4,"SCITE","Binary","complete",2299,4252,0.54068673565381
"192",0.4,0.4,"SCITE","Binary","complete",2233,4252,0.52516462841016
"193",0.05,0.05,"SiFit","Binary","complete",1277,4252,0.30032925682032
"194",0.1,0.05,"SiFit","Binary","complete",1293,4252,0.30409219190969
"195",0.2,0.05,"SiFit","Binary","complete",1187,4252,0.279162746942615
"196",0.4,0.05,"SiFit","Binary","complete",853,4252,0.200611476952023
"197",0.05,0.1,"SiFit","Binary","complete",1172,4252,0.275634995296331
"198",0.1,0.1,"SiFit","Binary","complete",1222,4252,0.287394167450611
"199",0.2,0.1,"SiFit","Binary","complete",1090,4252,0.256349952963311
"200",0.4,0.1,"SiFit","Binary","complete",721,4252,0.169567262464722
"201",0.05,0.2,"SiFit","Binary","complete",1224,4252,0.287864534336783
"202",0.1,0.2,"SiFit","Binary","complete",1075,4252,0.252822201317027
"203",0.2,0.2,"SiFit","Binary","complete",911,4252,0.214252116650988
"204",0.4,0.2,"SiFit","Binary","complete",551,4252,0.129586077140169
"205",0.05,0.4,"SiFit","Binary","complete",1054,4252,0.24788334901223
"206",0.1,0.4,"SiFit","Binary","complete",859,4252,0.202022577610536
"207",0.2,0.4,"SiFit","Binary","complete",631,4252,0.148400752587018
"208",0.4,0.4,"SiFit","Binary","complete",188,4252,0.0442144873000941
"209",0.05,0.05,"MO","Ternary","complete",3637,4252,0.855362182502352
"210",0.1,0.05,"MO","Ternary","complete",3358,4252,0.789746001881468
"211",0.2,0.05,"MO","Ternary","complete",2756,4252,0.648165569143932
"212",0.4,0.05,"MO","Ternary","complete",2069,4252,0.48659454374412
"213",0.05,0.1,"MO","Ternary","complete",3514,4252,0.826434619002822
"214",0.1,0.1,"MO","Ternary","complete",3127,4252,0.735418626528692
"215",0.2,0.1,"MO","Ternary","complete",2603,4252,0.612182502351834
"216",0.4,0.1,"MO","Ternary","complete",1883,4252,0.442850423330198
"217",0.05,0.2,"MO","Ternary","complete",3270,4252,0.769049858889934
"218",0.1,0.2,"MO","Ternary","complete",2969,4252,0.698259642521166
"219",0.2,0.2,"MO","Ternary","complete",2261,4252,0.531749764816557
"220",0.4,0.2,"MO","Ternary","complete",1606,4252,0.377704609595484
"221",0.05,0.4,"MO","Ternary","complete",2809,4252,0.660630291627469
"222",0.1,0.4,"MO","Ternary","complete",2305,4252,0.542097836312324
"223",0.2,0.4,"MO","Ternary","complete",1799,4252,0.423095014111007
"224",0.4,0.4,"MO","Ternary","complete",1141,4252,0.268344308560677
"225",0.05,0.05,"SCITE","Ternary","complete",3639,4252,0.855832549388523
"226",0.1,0.05,"SCITE","Ternary","complete",3254,4252,0.765286923800564
"227",0.2,0.05,"SCITE","Ternary","complete",2687,4252,0.631937911571025
"228",0.4,0.05,"SCITE","Ternary","complete",2200,4252,0.517403574788335
"229",0.05,0.1,"SCITE","Ternary","complete",3485,4252,0.81961429915334
"230",0.1,0.1,"SCITE","Ternary","complete",3061,4252,0.719896519285042
"231",0.2,0.1,"SCITE","Ternary","complete",2551,4252,0.599952963311383
"232",0.4,0.1,"SCITE","Ternary","complete",2168,4252,0.509877704609595
"233",0.05,0.2,"SCITE","Ternary","complete",3347,4252,0.787158984007526
"234",0.1,0.2,"SCITE","Ternary","complete",2841,4252,0.668156161806209
"235",0.2,0.2,"SCITE","Ternary","complete",2297,4252,0.540216368767639
"236",0.4,0.2,"SCITE","Ternary","complete",1960,4252,0.460959548447789
"237",0.05,0.4,"SCITE","Ternary","complete",2887,4252,0.678974600188147
"238",0.1,0.4,"SCITE","Ternary","complete",2411,4252,0.567027281279398
"239",0.2,0.4,"SCITE","Ternary","complete",1949,4252,0.458372530573848
"240",0.4,0.4,"SCITE","Ternary","complete",1810,4252,0.425682031984948
